patientSurname,patientName,patientSecondSurname,patientDateOfBirthday,patientAddress,patientProfession,patientSex
207,Калашникова,Сигизмунд,Марсович,1936-11-05,"к. Шелехов, наб. Свердлова, д. 908 стр. 7, 498406",Сапёр,Ж
208,Архипов,Конон,Виленович,1966-10-12,"ст. Воскресенск, пер. Астраханский, д. 34 к. 4/7, ",Гример,Ж
209,Сергеева,Самсон,Димитриевич,1982-05-11,"к. Игарка, ул. Ленинская, д. 772 к. 17, 065462",Фотограф,Ж
210,Муравьев,Эмилия,Тарасовна,1970-04-27,"к. Уварово, пер. Беляева, д. 377 стр. 5/9, 641977",Фортификатор,М
211,Кудрявцева,Афанасий,Викторовна,1955-09-02,"к. Ирбит, наб. Радужная, д. 633 стр. 510, 242916",Печатник,Ж
212,Титов,Майя,Болеславовна,1965-01-11,"клх Тобольск, бул. Мая 1, д. 379 стр. 62, 164873",Министр,Ж
213,Лобанов,Петр,Болеславовна,1946-05-27,"к. Усть-Кулом, ш. Камское, д. 4 к. 2, 290441",Звукорежиссёр,Ж
214,Рябова,Лаврентий,Ефимовна,1967-05-17,"клх Кулу, наб. Восьмого Марта, д. 1/4, 804099",Танцор,Ж
215,Владимиров,Елена,Филатович,1931-08-17,"г. Сибай, алл. Карла Маркса, д. 9/1, 426521",Шахтёр,Ж
216,Егоров,Исай,Захарьевич,1931-04-27,"к. Саянск, ш. Подстанция, д. 98, 634838",Инженер-технолог,Ж
217,Матвеев,Федосий,Фокич,2008-08-17,"д. Ельня, пр. Есенина, д. 431, 692825",Животновод,М
218,Богданов,Аскольд,Ефимовна,1986-09-16,"к. Юрьевец (Иван.), бул. Маяковского, д. 996 стр. ",Инженер-электрик,М
219,Волков,Ипатий,Борисович,1925-09-02,"ст. Енисейск, бул. Ясный, д. 90 стр. 8/8, 036736",Правовед,Ж
220,Волков,Доброслав,Денисович,1955-09-20,"к. Нарткала, алл. Тельмана, д. 8/5 к. 1, 815084",Печатник,Ж
221,Кулаков,Клавдий,Федоровна,2020-10-20,"п. Кущевская, ш. Камское, д. 2 к. 2, 405849",Механик,М
222,Федорова,Панкрат,Марсович,1975-08-13,"ст. Сосногорск, наб. Тимирязева, д. 2/4 стр. 2/5, ",Литейщик,М
223,Третьяков,Виталий,Святославовна,1962-05-08,"к. Махачкала, бул. Энергетиков, д. 61, 664250",Диетолог,М
224,Носкова,Нина,Феликсовна,2006-12-08,"д. Алексин, наб. Заводская, д. 8, 405587",Плиточник,Ж
225,Максимова,Якуб,Болеславовна,1951-02-25,"д. Осташков, пер. Космический, д. 8 к. 1, 788867",Инженер КИПиА,Ж
226,Кошелева,Анна,Жанович,1988-05-20,"г. Брянск, бул. Гафури, д. 16, 883428",Неонатолог,М
227,Кириллов,Демид,Аверьянович,1959-11-01,"ст. Холмск, пр. О.Кошевого, д. 869 стр. 4/6, 06052",Педагог,Ж
228,Григорьева,Фома,Ярославович,1994-10-02,"г. Сухиничи, бул. Запрудный, д. 679 стр. 50, 59010",Предприниматель,М
229,Зайцев,Эмилия,Эдуардович,2017-11-21,"клх Зеленогорск (Ленин.), пер. Малый, д. 7/1, 7521",Инженер-строитель,Ж
230,Ширяева,Лаврентий,Ермолаевич,1986-05-10,"г. Хабаровск, пр. О.Кошевого, д. 2, 559036",Ортопед,М
231,Елисеева,Мечислав,Ефремович,1989-10-20,"ст. Грозный, ул. Лазо, д. 35 к. 5/5, 202803",Териолог,М
232,Лаврентьев,Филарет,Гертрудович,1962-03-16,"г. Сергиев Посад, бул. Ушакова, д. 44 стр. 9/6, 77",Модельер,Ж
233,Кузьмин,Лукьян,Харлампович,2014-04-19,"п. Губкинский, пер. Моховой, д. 8, 214348",Веб-мастер,М
234,Носков,Остап,Ильинична,1982-04-30,"с. Южно-Сахалинск, наб. Шолохова, д. 1 к. 52, 5320",Слесарь,М
235,Соболев,Вышеслав,Тимурович,1941-03-09,"клх Златоуст, ш. Димитрова, д. 757 к. 648, 427759",Редактор,Ж
236,Ковалев,Артемий,Зиновьевич,1986-09-13,"ст. Усть-Катав, наб. Механизаторов, д. 3/8, 641517",Пулемётчик,М
237,Муравьев,Сильвестр,Харитоновна,1933-01-02,"к. Эльбрус, алл. Розы Люксембург, д. 7/2, 761311",Связист,М
238,Меркушев,Денис,Аркадьевна,1997-07-30,"д. Элиста, ул. Ясная, д. 11 стр. 78, 954274",Табаковод,М
239,Савин,Демид,Валерьянович,1969-07-11,"к. Обоянь, ул. Крылова, д. 2/6 к. 3/5, 454223",Вокалист,М
240,Егорова,Пров,Максимовна,1973-11-03,"клх Бронницы, ш. Учительское, д. 8/5 к. 10, 038111",Гирудотерапевт,Ж
241,Харитонов,Клавдия,Яковлевич,1984-10-18,"клх Сунтар, пр. Ударный, д. 8/3 к. 2/4, 360761",Лётчик,М
242,Фомичев,Феоктист,Леоновна,1930-02-05,"п. Инта, алл. Дзержинского, д. 6/8, 000652",Териолог,М
243,Федосеев,Аристарх,Владиленович,1947-02-23,"п. Черемхово, бул. Слободской, д. 6/8, 321484",Брейдер,Ж
244,Быков,Анатолий,Тихонович,2010-10-26,"ст. Цимлянск, алл. Ульяновская, д. 30 к. 703, 7865",Аккумуляторщик,М
245,Гришин,Амвросий,Афанасьевич,1992-09-10,"к. Валаам, бул. Дружба, д. 7 к. 597, 317426",Фельдшер,М
246,Блохина,Агап,Якубович,1957-12-19,"г. Волхов, бул. Максима Горького, д. 4, 576953",Повар,М
247,Елисеев,Август,Яковлевич,1955-02-06,"п. Енисейск, пр. Хуторской, д. 3, 772687",Юрисконсульт,Ж
248,Фролова,Федосий,Федоровна,1944-11-10,"д. Уварово, бул. Новый, д. 40 стр. 237, 100967",Проректор,М
249,Панов,Галина,Анисимович,1924-05-15,"к. Муром, пр. Пирогова, д. 8, 284171",Страховой агент,Ж
250,Суворова,Гордей,Феофанович,1989-08-31,"с. Чикола, пер. Герцена, д. 6 стр. 621, 092189",Военно-полевой хирург,Ж
251,Сергеева,Гедеон,Виленович,1947-12-26,"ст. Вилюйск, пр. Тургенева, д. 8 стр. 99, 602501",Моторист,Ж
252,Игнатьев,Дмитрий,Эдгарович,1933-01-10,"д. Норильск, алл. Азина, д. 4 стр. 29, 698068",Грейдерист,М
253,Архипов,Всеслав,Августович,1958-07-23,"д. Ростов, ш. Пожарского, д. 129 к. 455, 333795",Физик,М
254,Орлова,Харитон,Геннадиевич,1966-08-17,"д. Аршан (Бурят.), пр. Ленинградский, д. 99 стр. 9",Невролог,М
255,Сидорова,Никандр,Петровна,1936-06-26,"д. Корсаков, алл. Терешковой, д. 101 к. 426, 11588",Постановщик трюков,Ж
256,Ширяев,Прасковья,Гордеевич,1956-10-06,"п. Череповец, пр. Крестьянский, д. 3 к. 268, 86257",Изобретатр,М
257,Блохин,Ираклий,Тимурович,2020-03-10,"г. Анапа, алл. Физкультурная, д. 6/2 стр. 505, 834",Журналист,Ж
258,Белозерова,Мечислав,Кузьминична,2000-05-01,"п. Звенигород, алл. Терешковой, д. 5 стр. 7/4, 135",Слесарь-механик,Ж
259,Миронова,Давыд,Богдановна,1932-05-10,"к. Сосновый Бор, алл. Победа, д. 59 к. 2/6, 713930",Географ,М
260,Кабанова,Тимур,Давидович,1932-05-15,"к. Слюдянка, ш. Горького, д. 328, 078827",Пограничник,М
261,Осипова,Карл,Чеславович,1993-08-28,"д. Ялуторовск, ул. Дружбы, д. 532 к. 9, 119833",Врач УЗ-диагностики,М
262,Соколов,Полина,Борисович,1964-12-19,"ст. Учалы, пр. Донской, д. 4, 005438",Печатник,Ж
263,Абрамова,Азарий,Евстигнеевич,1983-03-25,"ст. Кинешма, бул. Докучаева, д. 51 к. 6/4, 042196",Коневод,Ж
264,Симонов,Леон,Венедиктович,1961-11-23,"с. Ведено, пр. Ленинградский, д. 88 стр. 566, 1983",Проходчик,М
265,Кузьмина,Анастасия,Денисович,2023-05-12,"г. Токсово, пр. Бажова, д. 368 стр. 1, 956891",Морской пехотинец,Ж
266,Харитонова,Харитон,Давидович,1955-07-23,"ст. Кимры, наб. Механическая, д. 1, 162101",Телефонист,Ж
267,Кабанов,Лора,Ефимовна,1950-07-11,"с. Моршанск, ш. Карла Либкнехта, д. 4 к. 73, 54383",Юрист,М
268,Борисова,Федор,Артёмович,1981-07-25,"клх Семлячики, пер. Ульянова, д. 71, 311995",Дипломат,Ж
269,Хохлова,Андрей,Терентьевич,2012-11-04,"д. Нижний Тагил, пр. Тракторный, д. 9/9 стр. 162, ",Профпатолог,М
270,Максимов,Гедеон,Эдуардовна,1955-03-14,"с. Абакан, ш. Комарова, д. 7 к. 935, 243736",Травматолог,М
271,Гуляева,Алла,Евсеевич,2020-10-03,"с. Дивногорск, бул. Котовского, д. 674, 383549",Радист,Ж
272,Бирюкова,Вениамин,Анисимович,1926-03-20,"ст. Нижний Тагил, алл. Береговая, д. 415 стр. 137,",Тестировщик,Ж
273,Афанасьев,Ювеналий,Еремеевич,1924-03-29,"с. Боровск, пр. Розы Люксембург, д. 6 к. 3, 687513",Нейрохирург,Ж
274,Трофимов,Агап,Эдуардович,1957-05-25,"ст. Новокузнецк, пер. Курортный, д. 5/1 стр. 6, 17",Инфекционист,М
275,Воробьев,Евгений,Вячеславович,1931-06-05,"с. Токма, бул. Баумана, д. 4/8 к. 6/8, 989136",Дефектолог,Ж
276,Романова,Любосмысл,Вадимовна,1952-10-25,"клх Шадринск, наб. Подстанция, д. 4/3 к. 2/1, 8592",Дизайнер-конструктор,М
277,Блинов,Таисия,Дмитриевич,1958-10-03,"д. Оха, алл. Белорусская, д. 1 к. 5/5, 792185",Скорняк,М
278,Мухина,Гордей,Валерьянович,1994-04-24,"п. Павловская, алл. Декабристов, д. 1 к. 440, 8869",Моторист,М
279,Семенов,Ипат,Авдеевич,1948-02-26,"п. Нарьян-Мар, пер. Тупиковый, д. 4 к. 29, 269060",Пастух,Ж
280,Цветкова,Кондратий,Арсенович,1969-08-19,"клх Тында, ш. Автомобилистов, д. 40, 299882",Инженер КИПиА,М
281,Суханов,Лукия,Бориславович,1957-05-06,"с. Троицк (Челяб.), бул. Кольцова, д. 5/4 к. 41, 5",Биолог,М
282,Гаврилов,Иванна,Ефремович,2019-10-16,"ст. Аргаяш, ш. Мостовое, д. 719 стр. 1, 405259",Космонавт,М
283,Белякова,Карп,Тарасовна,1990-11-01,"ст. Прохладный, пр. Приозерный, д. 3/3 к. 8, 10051",Швейцар,Ж
284,Карпов,Тимофей,Якубович,1985-02-25,"с. Пушкин, наб. Путевая, д. 812, 320205",Тракторист,М
285,Пахомов,Дорофей,Викторовна,1970-05-09,"г. Уэлен, ул. Кузнецкая, д. 3/6 к. 73, 816760",Дизайнер-конструктор,М
286,Смирнов,Никандр,Бориславович,1953-02-13,"п. Салехард, пер. Спортивный, д. 1 к. 7, 287056",Астрохимик,М
287,Попова,Симон,Харлампович,1985-06-28,"п. Кирово-Чепецк, ул. Большевистская, д. 9/6 к. 54",Шифровальщик,Ж
288,Лазарева,Панкратий,Анатольевич,1957-07-01,"п. Братск, наб. Коминтерна, д. 140 стр. 41, 091958",Торговый представитель,М
289,Потапов,Фотий,Тихонович,1966-05-24,"ст. Цимлянск, ул. Городская, д. 51 к. 67, 566067",Кавалерист,Ж
290,Сорокин,Сидор,Ермилович,1977-12-18,"п. Тавда, ш. Гаражное, д. 6/2 стр. 8/2, 700262",Тальман,М
291,Петухов,Захар,Ивановна,1999-12-17,"с. Соболево, ул. Черняховского, д. 6/8, 828425",Инженер-лаборант,М
292,Дроздов,Анисим,Владиславович,1991-01-21,"с. Балашиха, алл. Высоцкого, д. 7, 150414",Токарь-карусельщик,М
293,Пономарев,Пантелеймон,Гаврилович,1988-04-14,"п. Тобольск, бул. 50 лет Победы, д. 5, 156674",Проходчик,Ж
294,Большакова,Селиверст,Игоревна,1930-02-28,"д. Кыштым, ш. Киевское, д. 4/7 стр. 315, 509282",Теолог,Ж
295,Жукова,Ирина,Ярославович,1982-02-05,"г. Карталы, наб. Октябрьская, д. 41 к. 207, 456956",Санитар,М
296,Зимина,Захар,Вилорович,1931-10-13,"клх Апрелевка, наб. Коллективная, д. 4/4, 621835",Пожарный,М
297,Дементьев,Демид,Иларионович,1930-09-16,"п. Кош-Агач, бул. Кутузова, д. 2, 279742",Следователь,М
298,Третьякова,Викторин,Ефимович,1984-02-14,"г. Ставрополь, бул. Курортный, д. 85 к. 6, 169433",Столяр-краснодеревщик,Ж
299,Веселов,Евдоким,Фокич,1988-04-30,"ст. Устюжна, ш. Ульянова, д. 88 стр. 1, 042767",Старшина,Ж
300,Евдокимов,Викторин,Даниловна,1963-07-26,"г. Зеленогорск (Ленин.), пр. Мельничный, д. 605 ст",Оператор коллцентра,М
301,Кулаков,Марфа,Ермолаевич,1926-10-13,"ст. Усмань, пер. Разина, д. 3/3 к. 50, 538226",Телохранитель,М
302,Степанов,Павел,Фёдорович,1988-08-18,"д. Кизилюрт, пер. Красных Партизан, д. 213 стр. 44",Метрдотель,Ж
303,Кудряшов,Лонгин,Аксёнович,1970-05-23,"д. Сальск, пр. Заозерный, д. 4/5 к. 2, 094512",Литейщик,М
304,Рогова,Октябрина,Геннадиевна,2002-01-10,"ст. Уфа, наб. Лермонтова, д. 1/1 стр. 7, 798469",Гематолог,Ж
305,Дроздов,Мирослав,Анатольевич,1963-02-02,"клх Мезень, пр. Герцена, д. 6/1 к. 2/3, 902101",Сыровар,М
306,Игнатова,Вячеслав,Антоновна,1948-12-08,"ст. Арсеньев, алл. Победа, д. 768 к. 2/9, 892478",Радиотелефонист,Ж
307,Блинова,Самуил,Святославовна,1955-04-19,"с. Печенга, бул. Краснофлотский, д. 2/9, 347250",Археолог,М
308,Муравьев,Иосиф,Еремеевич,1956-11-01,"д. Новороссийск, ул. Жукова, д. 43, 181835",Аллерголог,М
309,Кабанов,Викторин,Станиславовна,1993-10-09,"г. Черняховск, наб. Портовая, д. 5/6, 998184",Иллюстратор,Ж
310,Мухина,Анисим,Аркадьевна,1940-05-27,"г. Плесецк, наб. Магистральная, д. 3 к. 2/4, 20063",Жиловщик/Обвальщик,Ж
311,Ефремова,Анна,Юльевна,1977-03-04,"д. Шумиха, ул. 40 лет Октября, д. 4/3, 698577",Ювелир,М
312,Никонова,Аникита,Терентьевич,1954-09-06,"п. Токсово, пр. Парковый, д. 931 стр. 5, 798615",Конвоир,Ж
313,Силина,Богдан,Валериевна,1932-02-07,"п. Зеленогорск (Ленин.), бул. Логовой, д. 911, 952",Агроном по защите растений,Ж
314,Власов,Артем,Богдановна,1975-06-22,"клх Кырен, ул. Специалистов, д. 465, 099021",Педагог,Ж
315,Исаков,Велимир,Егоровна,1999-10-16,"клх Орел, наб. Подгорная, д. 4 к. 683, 433919",Гирудотерапевт,Ж
316,Савина,Милий,Федосьевич,1951-05-30,"г. Листвянка (Иркут.), бул. Жуковского, д. 65, 374",Фармацевт,М
317,Панфилов,Лука,Всеволодович,1996-12-05,"ст. Малоярославец, ш. Рязанское, д. 8, 914599",Пластический хирург,Ж
318,Кулакова,Клавдия,Феликсовна,1990-07-03,"ст. Каневская, ул. Трудовая, д. 6, 379823",Особист,М
319,Комиссарова,Прохор,Филиппович,1936-01-27,"д. Валаам, бул. Боровой, д. 14 к. 705, 388140",Врач УЗ-диагностики,Ж
320,Овчинников,Серафим,Вячеславович,2004-03-19,"г. Южно-Сахалинск, наб. Леваневского, д. 432 стр. ",Хлебопёк,Ж
321,Денисов,Никандр,Антипович,1998-07-12,"клх Гремячинск (Перм.), алл. Громова, д. 4/8, 6710",Гример,Ж
322,Дьячков,Кирилл,Эдгардович,1986-01-09,"г. Калуга, бул. Шмидта, д. 37 стр. 787, 760397",Ракетчик,Ж
323,Ефимова,Христофор,Марсович,2004-12-23,"г. Сочи, ш. Кавказское, д. 371 к. 7/1, 010751",Экспедитор на дальних поездках,Ж
324,Мартынова,Наталья,Бориславович,1981-11-24,"к. Онега, ул. Озерная, д. 142, 088413",Кинолог,М
325,Ковалев,Агафья,Олеговна,1987-10-20,"клх Данков, бул. Ставропольский, д. 763 к. 2/8, 35",Табунщик,Ж
326,Казакова,Аверкий,Степановна,1948-05-16,"ст. Белореченск, алл. Сибирская, д. 581 стр. 17, 2",Телеграфист,М
327,Михеев,Капитон,Иосипович,1942-03-11,"клх Подольск, ш. Волжское, д. 5, 857790",Оператор РЛС,М
328,Маркова,Мартьян,Леонидовна,1938-05-11,"с. Бомнак, ш. Первомайское, д. 8/8 к. 28, 337325",Работник органов ЗАГСа,Ж
329,Суворов,Аскольд,Рудольфовна,1954-02-09,"г. Черкесск, пр. Пугачева, д. 352, 076086",Географ,М
330,Новиков,Стоян,Болеславовна,1942-04-24,"с. Юрьевец (Иван.), ул. Геологов, д. 61, 369153",Массажист,М
331,Марков,Гостомысл,Кузьминична,2007-05-10,"клх Петухово, пер. Матросова, д. 72 стр. 77, 67900",Инженер-лаборант,Ж
332,Русакова,Фома,Ниловна,2013-04-14,"д. Клин, ш. Подгорное, д. 1 к. 832, 140619",Техник,Ж
333,Лихачева,Ефрем,Зиновьевич,1986-09-04,"к. Нижнеудинск, пер. Новгородский, д. 5 к. 676, 02",Детектив,М
334,Крюкова,Пелагея,Давыдович,2003-07-16,"с. Талдом, бул. Фабричный, д. 4 стр. 14, 679471",Капитан судна,Ж
335,Красильникова,Мартьян,Андреевна,1994-07-27,"г. Кудымкар, ул. 30 лет Победы, д. 9/4 стр. 3, 875",Медник,М
336,Рогов,Вячеслав,Евгеньевна,1972-12-28,"д. Пятигорск, бул. Чайкиной, д. 7/4 к. 658, 451354",Печатник,Ж
337,Ильина,Борислав,Эдуардовна,1963-03-16,"к. Шереметьево, алл. Коммунаров, д. 2, 085648",Монтажник радиоэлектронной апп,Ж
338,Козлов,Моисей,Фролович,1987-04-05,"к. Россошь, алл. Карьерная, д. 630, 581641",Гепатолог,Ж
339,Ермакова,Евфросиния,Герасимович,2022-06-25,"г. Североуральск, пер. Луговой, д. 46 стр. 648, 27",Бульдозерист,Ж
340,Мясникова,Борислав,Игнатович,1983-08-07,"г. Александров, ул. Пионерская, д. 680 к. 12, 4725",Военный переводчик,М
341,Дьячкова,Фаина,Николаевна,1936-08-05,"с. Щелково, ул. Семашко, д. 1/2, 553133",Моторист,Ж
342,Антонова,Назар,Игоревич,1963-01-09,"к. Апатиты, наб. Мелиоративная, д. 7/1, 114756",Токарь-карусельщик,М
343,Шилова,Вадим,Григорьевна,1972-09-26,"г. Талдом, наб. Радищева, д. 8 стр. 5, 797026",Радиолог,М
344,Виноградова,Раиса,Романовна,1949-12-08,"к. Советский, алл. Попова, д. 702 к. 4/8, 274063",Геолог,М
345,Голубева,Велимир,Борисовна,2007-10-26,"к. Уфа, ш. Металлургов, д. 571 к. 4, 000928",Психолог,Ж
346,Тихонов,Любим,Аверьянович,1975-08-30,"г. Саратов, наб. Гафури, д. 2/2, 839628",Шлифовщик,М
347,Лаврентьев,Феликс,Бенедиктович,1937-10-21,"п. Данков, ш. Тепличное, д. 4 к. 9, 453778",Востоковед,М
348,Кириллова,Раиса,Андреевна,1981-10-13,"к. Елабуга, бул. 1 Мая, д. 4/2, 195954",Переводчик,Ж
349,Кудрявцев,Софрон,Вилорович,2007-12-19,"ст. Красноуральск, ул. Цветочная, д. 285, 236942",Сексопатолог,Ж
350,Абрамова,Аверьян,Юльевна,1925-05-05,"клх Батайск, ш. Коммунистическое, д. 69 стр. 9/6, ",Бульдозерист,Ж
351,Тимофеев,Венедикт,Демидович,2007-11-04,"к. Андреаполь, наб. Озерная, д. 47, 659701",Баталер,М
352,Орлова,Василий,Анатольевич,1984-05-28,"д. Асино, бул. Балтийский, д. 60 стр. 346, 353280",Бондарь,Ж
353,Уварова,Лука,Тимурович,1967-11-17,"д. Можга, наб. Хуторская, д. 77 к. 3, 643331",Пульмонолог,Ж
354,Красильников,Андрей,Теймуразович,1963-06-19,"п. Андреаполь, пер. Надежды, д. 97 к. 7/5, 432375",Кинооператор,М
355,Исаев,Василиса,Кирилловна,1968-07-27,"с. Елец, алл. Шахтерская, д. 77 к. 260, 196817",Дворник,Ж
356,Волков,Лазарь,Анатольевич,1949-03-16,"п. Верхний Уфалей, алл. Виноградная, д. 31 стр. 90",Филолог,Ж
357,Юдина,Антип,Герасимович,1971-03-22,"д. Дагомыс, пр. Бажова, д. 56 к. 86, 529056",Оториноларинголог,Ж
358,Носов,Эдуард,Антонович,1944-04-14,"с. Темрюк, пр. Пугачева, д. 8 стр. 873, 850619",Следователь,Ж
359,Гордеева,Игнатий,Ефимович,1985-06-22,"к. Поярково, алл. Строительная, д. 97, 737917",Бондарь,Ж
360,Самсонов,Владлен,Робертовна,1970-12-03,"с. Мураши, ш. Томское, д. 21 стр. 29, 299883",Скорняк,Ж
361,Волкова,Болеслав,Игоревич,2018-10-24,"клх Новый Уренгой, алл. Сенная, д. 1/7, 289095",Садовник,Ж
362,Морозова,Артемий,Руслановна,2021-11-17,"д. Октябрьское (Хант.), пер. Окружной, д. 9 стр. 4",Инженер-технолог,М
363,Белоусов,Гордей,Болеславовна,1935-09-29,"д. Пинега, ул. Тюленина, д. 34, 236315",Мануалист,Ж
364,Кириллов,Валерия,Викторович,2022-08-31,"к. Калевала, ш. Ленинское, д. 145 стр. 806, 868368",Автоэлектрик,М
365,Новиков,Кузьма,Давидович,1945-12-02,"с. Домбай, ш. Моховое, д. 89, 244100",Географ,М
366,Куликов,Изот,Ефимьевич,1939-05-07,"ст. Пушкино (Моск.), наб. Короткая, д. 3/1, 839968",Коммерческий директор,Ж
367,Сорокин,Анна,Богдановна,1956-07-10,"к. Кингисепп, ш. Курское, д. 688 стр. 92, 275200",Оператор вооружения,М
368,Семенов,Филипп,Викторович,1952-11-13,"к. Красногорск (Моск.), ул. Верхняя, д. 23 к. 356,",Бармен,Ж
369,Чернов,Анна,Вячеславовна,1933-06-24,"клх Лагань, пер. Целинный, д. 7/7 к. 1/7, 839621",Радист,М
370,Щукина,Лора,Рубеновна,2001-12-25,"п. Жиганск, пер. Березовый, д. 6 к. 752, 195446",Промышленный альпинист,М
371,Рябов,Любосмысл,Марсович,1986-03-09,"г. Кижи, пер. Просвещения, д. 3/6, 032702",Табаковод,Ж
372,Матвеев,Артемий,Игнатович,1935-09-25,"д. Ачхой Мартан, пр. Шолохова, д. 9 к. 6/2, 922417",Оператор коллцентра,М
373,Беспалова,Август,Аркадьевна,2003-04-08,"клх Яшалта, наб. Советская, д. 527 к. 847, 131807",Оториноларинголог,М
374,Попова,Милен,Гордеевич,1929-09-20,"с. Меренга, пр. Светлый, д. 321, 100717",Портье,Ж
375,Михеев,Куприян,Вилорович,1968-12-06,"с. Салехард, ш. Пархоменко, д. 14, 979545",Комендант,М
376,Родионова,Митофан,Борисович,1982-06-06,"г. Ангарск, ш. Чайковского, д. 23 к. 6, 130587",Гастроэнтеролог,М
377,Егоров,Гремислав,Константиновна,2023-11-05,"с. Аргаяш, алл. Макаренко, д. 705 стр. 3, 592775",Экспедитор на дальних поездках,М
378,Гуляев,Карл,Феоктистович,1961-08-04,"с. Таштагол, бул. Восточный, д. 8, 081214",Мануалист,Ж
379,Агафонов,Евдокия,Владиленович,1988-12-31,"ст. Двинской, пер. Воронежский, д. 5, 414521",Хлопокороб,Ж
380,Артемьев,Мартын,Аксёнович,1961-03-14,"д. Ноглики, алл. Литейная, д. 74 к. 38, 503874",Пастух,М
381,Комиссаров,Будимир,Аверьянович,2003-07-10,"д. Карабулак, ул. Белинского, д. 38, 529320",Невропатолог,М
382,Агафонова,Прокофий,Адрианович,1932-09-07,"д. Владимир, наб. Санаторная, д. 77, 235738",Маркшейдер,Ж
383,Ларионова,Олимпий,Владиславович,1971-03-10,"г. Верещагино (Перм.), ш. Камское, д. 6/5, 816331",Спортивный врач,М
384,Филиппова,Антип,Виленович,2001-03-17,"ст. Кизляр, бул. Максима Горького, д. 1/8 стр. 7/5",Орнитолог,Ж
385,Копылов,Мартьян,Андреевич,1945-02-12,"п. Старый Оскол, бул. Краснопартизанский, д. 30 к.",Морской пехотинец,Ж
386,Жданов,Святослав,Вячеславович,2015-11-14,"д. Новороссийск, пр. Высокий, д. 6 к. 701, 616462",Инженер-конструктор,Ж
387,Жданов,Аггей,Августович,1968-05-18,"к. Избербаш, пер. Мелиораторов, д. 157 стр. 29, 79",Визажист,М
388,Тимофеев,Евдокия,Жоресович,1955-03-28,"к. Мирный, алл. Крайняя, д. 65 стр. 801, 019331",Швея,М
389,Терентьева,Владислав,Богдановна,1976-04-16,"ст. Кимры, алл. Моховая, д. 212 стр. 7, 098989",Судья,М
390,Меркушева,Олимпий,Денисович,1991-12-08,"с. Ялуторовск, пр. Первомайский, д. 92, 755409",Флорист,Ж
391,Соколова,Тамара,Рубеновна,2005-12-13,"д. Бийск, пер. Механизаторов, д. 430 стр. 108, 672",Агроном,Ж
392,Мухин,Рубен,Сергеевна,1941-04-01,"г. Сочи, пр. Щербакова, д. 41, 150340",Торакальный хирург,Ж
393,Зыков,Панкрат,Гордеевич,1985-01-30,"д. Тура, пер. Физкультурный, д. 4, 158811",Врач МСЭК,Ж
394,Доронин,Чеслав,Романовна,1976-12-30,"с. Псков, алл. Спартака, д. 6/9, 352600",Инженер,М
395,Никонов,Мариан,Болеславовна,1984-07-11,"к. Добрянка, ул. Кленовая, д. 6, 847749",Кондитер,Ж
396,Антонова,Пров,Николаевна,1935-09-25,"п. Дудинка, пер. Краснодарский, д. 582 к. 563, 767",Администратор базы данных,М
397,Галкина,Игорь,Викторович,1978-01-05,"ст. Буденновск, пер. Тепличный, д. 72 стр. 75, 702",Веб-интегратор,М
398,Шашкова,Митофан,Гаврилович,1996-08-07,"с. Меренга, алл. Раздольная, д. 6/4 стр. 74, 99589",Коневод,М
399,Зуева,Аскольд,Арсеньевич,1926-07-03,"д. Нижнекамск, алл. Урожайная, д. 32, 614119",Шорник,Ж
400,Кондратьева,Аникей,Руслановна,1948-05-05,"клх Тарко-Сале, пер. Автомобилистов, д. 87 стр. 26",Географ,М
401,Миронов,Иван,Вилорович,1956-01-12,"д. Шерегеш, пер. Подгорный, д. 67, 899163",Дерматолог,Ж
402,Николаева,Платон,Трифонович,2006-10-23,"д. Оленегорск (Якут.), ш. Морское, д. 4/3 к. 9/2, ",Сапожник,Ж
403,Устинов,Василий,Викентьевич,1942-01-23,"п. Макушино, алл. Морская, д. 73, 152502",Бухгалтер,М
404,Фролов,Василий,Архиповна,1956-05-01,"д. Канск, наб. Красноармейская, д. 8/7 стр. 180, 4",Фуражир,Ж
405,Гуляева,Евлампий,Игоревич,1957-10-31,"к. Нижнекамск, наб. Новгородская, д. 38, 104462",Кардиохирург,М
406,Капустин,Павел,Анисимович,1965-02-18,"клх Кош-Агач, ул. Малая, д. 407 к. 7/2, 269142",Системный администратор,М
407,Некрасова,Измаил,Григорьевна,1961-04-20,"с. Октябрьское (Хант.), алл. Калужская, д. 837, 04",Дизайнер-конструктор,М
408,Власова,Полина,Даниловна,1947-02-24,"г. Тобольск, ш. Советской Армии, д. 4 к. 153, 3943",Историк,М
409,Сидорова,Мстислав,Венедиктович,1984-12-13,"к. Гагарин, ул. Челюскинцев, д. 964 стр. 887, 8260",Капитан судна,Ж
410,Петрова,Наркис,Гавриилович,1963-12-23,"д. Колпашево, наб. Щетинкина, д. 4, 887585",Экспедитор,Ж
411,Ситникова,Дементий,Олеговна,1936-09-15,"клх Углегорск, пр. Комсомольский, д. 3/2 к. 3/6, 4",Диетолог,Ж
412,Зуев,Ксения,Ильинична,1989-08-31,"ст. Новомосковск, наб. Краснознаменная, д. 13 к. 7",Холодильщик,М
413,Сорокин,Аристарх,Семеновна,1932-08-20,"п. Ейск, пер. Высоковольтный, д. 936 стр. 35, 6460",Машинистка,Ж
